,TS,SensorId,L1H,L1T,L2H,L2T,L3H,L3T
41,2020-02-12 05:00:00,E53490B59A25,5.2600349999999985,9.741666666666667,22.43119166666667,10.741666666666667,37.49487500000001,11.683333333333335
42,2020-02-12 06:00:00,E53490B59A25,5.2907672727272725,9.98181818181818,22.550918181818187,10.79090909090909,37.50525454545455,11.58181818181818
43,2020-02-12 07:00:00,E53490B59A25,5.757134166666668,9.958333333333334,22.81585833333333,10.691666666666665,37.85909166666666,11.4
44,2020-02-12 08:00:00,E53490B59A25,6.217885,10.441666666666665,22.808566666666664,10.66666666666667,38.18729999999999,11.3
45,2020-02-12 09:00:00,E53490B59A25,6.604178333333333,11.633333333333333,22.792041666666666,10.991666666666665,38.266541666666654,11.3
46,2020-02-12 10:00:00,E53490B59A25,7.213597272727271,12.79090909090909,22.868527272727274,11.545454545454545,38.35083636363637,11.436363636363636
47,2020-02-12 11:00:00,E53490B59A25,8.27512,13.936363636363636,23.03828181818182,12.245454545454548,38.536145454545455,11.69090909090909
48,2020-02-12 12:00:00,E53490B59A25,9.101885454545457,14.727272727272727,23.09367272727273,12.9,38.680845454545455,12.009090909090904
49,2020-02-12 13:00:00,E53490B59A25,9.327286363636365,15.227272727272727,22.788018181818174,13.6,38.42930909090909,12.46363636363636
50,2020-02-12 14:00:00,E53490B59A25,9.498925,15.174999999999995,22.905525,13.950000000000005,38.564275,12.8
51,2020-02-12 15:00:00,E53490B59A25,9.19324090909091,15.154545454545454,22.85687272727273,14.181818181818182,38.530336363636366,13.090909090909092
52,2020-02-12 16:00:00,E53490B59A25,11.2090125,14.941666666666668,23.32595,14.333333333333336,38.54925833333333,13.341666666666667
53,2020-02-12 17:00:00,E53490B59A25,28.5904,14.318181818181818,27.2736,14.263636363636362,39.86491818181818,13.463636363636365
54,2020-02-12 18:00:00,E53490B59A25,29.01322500000001,13.616666666666667,28.35123333333333,13.983333333333334,40.17639166666667,13.483333333333334
55,2020-02-12 19:00:00,E53490B59A25,28.7111,12.949999999999998,28.40023333333333,13.616666666666667,40.37388333333333,13.375000000000005
56,2020-02-12 20:00:00,E53490B59A25,28.545941666666664,12.333333333333336,28.439775,13.225,40.46409166666667,13.241666666666665
57,2020-02-12 21:00:00,E53490B59A25,28.58288333333333,11.950000000000005,28.52769166666667,12.866666666666667,40.55896666666667,13.058333333333332
58,2020-02-12 22:00:00,E53490B59A25,28.56313333333333,11.799999999999995,28.59643333333333,12.608333333333327,40.588816666666666,12.883333333333338
59,2020-02-12 23:00:00,E53490B59A25,28.47779090909091,11.572727272727272,28.57357272727273,12.42727272727273,40.5887909090909,12.754545454545456
60,2020-02-13 00:00:00,E53490B59A25,28.42846666666667,11.375,28.595025,12.241666666666667,40.58048333333333,12.633333333333333
61,2020-02-13 01:00:00,E53490B59A25,28.29973333333333,11.05,28.580433333333332,12.05,40.52910000000001,12.508333333333333
